Date,Bogle,Dividend Yield,PE,Earnings Growth,Earnings,Index Level
1877.07,NaN,0.07432786885245903,10.39890896692806,NaN,0.291700,2.850000,
1877.08,NaN,0.06712962962962962,10.983050847457628,NaN,0.293300,3.050000,
1877.09,NaN,0.06293051359516616,11.156049882035726,NaN,0.295000,3.240000,
1877.1,NaN,0.06110429447852761,10.928595373784779,NaN,0.296700,3.310000,
1877.11,NaN,0.05846153846153846,10.833333333333334,NaN,0.298300,3.260000,
1877.12,NaN,0.05821538461538462,10.804521276595745,NaN,0.300000,3.250000,
1878.01,NaN,0.05921383647798742,10.540271793172025,NaN,0.300800,3.250000,
1878.02,NaN,0.057870370370370364,10.710743801652894,NaN,0.301700,3.180000,
1878.03,NaN,0.05606606606606607,10.979228486646884,NaN,0.302500,3.240000,
1878.04,NaN,0.05562874251497006,10.979618671926362,NaN,0.303300,3.330000,
